GDP,Import($),Export($),Population,Unemployment.rate(%),Minimum.Wage($/month),GDP.per.capita (in $),Real GDP Growth (in%),Gov.Expenditure.%.of.GDP,Tax.total.rate(%)
10.28106415,9.708335903,9.02489596,7.580260533,1.826074803,-0.953895213,2.831229694,0,-0.530060225,-0.146301788
10.18406871,10.77956763,10.47411424,6.455483032,1.634809665,-0.909036923,4.291590826,-1.443697499,-0.503208684,-0.436518915
11.23041887,10.02918079,10.11501107,7.634003964,2.171246564,-0.931814138,4.136086097,-1.420216403,-0.505525371,-0.179798541
9.498869674,9.299898889,8.402029304,4.887290894,3.160360469,-2,4.833975371,-1.677780705,-0.444047489,-1
10.97605369,9.55339751,9.991403303,7.502772438,1.589815608,-1.161780778,3.850033258,-1.886056648,-0.661404076,-0.308918508
9.237483229,8.825850301,7.484255325,4.98729973,3.811575006,-0.823908741,4.405687787,-1.251811973,-0.648493577,-0.366531544
11.65288759,9.663983455,9.73223288,7.652620621,4.629001619,-1.009217308,4.423409728,0,-0.428908701,0.026533265
10.13585753,9.09482038,8.975431809,6.470958673,2.269335454,-0.769806621,4.295347148,-1.15490196,-0.578511242,-0.645891561
12.14385152,10.56232856,10.6680223,7.4110572,1.182699903,-1.278189385,4.810702861,-1.744727495,-0.415318315,-0.324221658
11.64964123,10.30457669,10.30222267,6.948269498,0.843232778,-1.330683119,4.839289456,-3,-0.280776471,-0.289036881
10.59336361,9.62134041,12.82406763,7.001011509,2.307282047,-1.258848401,4.271609301,-1.602059991,-0.530708294,-0.390405591
10.10812509,9.015359755,8.252853031,5.590487391,3.017033339,-0.984640245,4.652729696,-1.366531544,-0.567608015,-0.4710833
10.58629545,8.728353782,8.544068044,6.176564382,2.901933224,-2.148741651,4.783331763,-1.568636236,-0.535883206,-0.860120914
11.48082767,10.81551134,10.74476224,8.223524074,1,-1.377785977,3.938019097,-1.22184875,-0.900112273,-0.476253533
9.716754357,9.555221452,7.786318331,5.457919726,0.875061263,-0.985899678,4.272769587,-1.346787486,-0.505261172,-0.448550002
10.79989483,9.588159616,9.547159121,6.976205771,2.291923576,-1.338187314,4.380573003,-1.795880017,-0.433892626,-0.273272791
11.72395348,10.37106786,10.60852603,7.060095264,3.310058928,-1.252588192,4.818291891,-2,-0.270268405,-0.256490235
9.274068579,8.434966293,7.224584854,5.591457521,3.316819222,-1.19314197,4.048053173,-1.397940009,-0.641018774,-0.507239611
10.15808219,9.528273777,9.021189299,7.071924367,0.514813295,-1.651695137,3.63447727,-1.259637311,-0.709742731,-0.310691141
9.388576125,8.780317312,7.361727836,5.861621022,3.380211242,-1.630784143,4.155336037,-1.27572413,-0.457984185,-0.452225295
10.61167364,8.957607287,8.977266212,7.061192277,3.64777405,-1.455931956,4.014520539,-1.744727495,-0.439985712,-0.077274542
10.30206777,9.113943352,9.964730921,6.518645524,2.719264977,-0.734710374,4.2929203,-1.698970004,-0.423025525,-0.625251654
10.26341143,8.700045721,8.894316063,6.370361143,2.587630159,-0.740167301,4.287577809,-1.420216403,-0.496999662,-0.600326279
12.26476071,10.25973719,10.37095696,8.32748035,2.422389552,-0.917933066,4.302763708,-1.508638306,-0.363291502,-0.186419011
10.12934899,8.942008053,9.164055292,5.636773654,2.698970004,-1.040005162,4.860996437,0,-0.601469752,-1.096910013
10.93449845,10.72427587,10.67209786,6.843591593,2.633599734,-1.36251027,4.528659645,-1.769551079,-0.417459403,-0.548213564
10.19716501,9.740362689,9.653212514,7.307953154,1.866989914,-1.203425667,3.428134794,-1.356547324,-0.503928724,-0.384049948
9.478903251,9.010723865,8.214843848,7.061851153,3.511616021,-1.844663963,2.949477833,-1.48148606,-0.409002213,-0.385102784
10.76931975,9.204119983,9,7.410212604,2.094051656,-1.478861916,3.84260924,-1.161150909,-0.668653698,-0.300162274
9.297069848,9.050263723,8.074084689,5.684511437,2.097222593,-0.911863911,3.996073654,-1.356547324,-0.550351927,-0.425968732
10.43279922,9.785329835,9.77815125,7.217129573,2.301029996,-2.167491087,3.784617293,-1.251811973,-0.581019619,-0.63638802
10.588389,11.59328607,11.40312052,7.41290352,1.856928173,-1.4710833,3.668385917,-1.397940009,-0.745693668,-0.238824187
12.23965619,10.79497574,10.79918886,7.568107589,1.085647288,-1.254925208,4.776773802,-1.886056648,-0.382203134,-0.610833916
9.3464131,8.459392488,7.176091259,6.676253149,2.936513742,-1.434152181,3.045322979,-2,-0.746758946,-0.134896025
10.05365269,9.936915681,7.498999364,7.202675617,3.380211242,-1.723538196,3.257678575,-1.397940009,-0.780075087,-0.197226275
11.45073881,10.89762709,10.97772361,7.277655919,2.698970004,-1.149353765,4.476106717,0,-0.575820986,-0.468521083
13.29907126,11.34635297,11.48855072,9.145418626,3.212720154,-1.364516253,4.367542274,-1.301029996,-0.480421371,-0.227678293
11.51028061,9.720985744,9.574031268,7.701908406,2.466541406,-1.01278077,4.289588953,-1.853871964,-0.465491612,-0.147520006
9.073985323,9.644438589,6.367355921,5.929871378,2.079072659,-1.36251027,3.539076099,-1.522878745,-0.753698423,0.341632336
10.03425099,9.371437317,9.373279893,6.730823281,1.966000858,-1.023650021,3.744292983,-1.397940009,-0.607039385,-0.26520017
10.79080533,9.269512944,9.125806458,6.703081576,2.946211469,-0.92628165,4.428296814,-1.356547324,-0.713341475,-0.234331445
10.78114876,9.505149978,9.278753601,6.609327562,2.89619541,-1.159266765,4.632153484,-1.568636236,-0.340216865,-0.688246139
11.00009988,9.925879089,9.293583513,7.054363398,1,-1.785156152,3.870462432,-1.744727495,-0.302770657,-0.455931956
10.39031054,8.933128264,9.492744469,6.078665215,2.981904642,-1.138465589,4.777644278,-1.657577319,-0.399473601,-0.649751982
11.39179798,11.35793485,10.26007139,7.028152575,2.880785019,-1.714442691,4.690461893,-2.698970004,-0.348315026,-0.336299075
10.67504129,8.371344983,8.373279893,7.938472526,1.966000858,-1.372634143,3.178976947,-1.173925197,-0.726836622,-0.294992041
11.5416766,10.30770992,11.13513265,6.764814995,1,-1.308918508,4.874829578,-1.769551079,-0.308132006,-0.623423043
9.520970136,8.281941933,7.677606953,5.988362722,3.380211242,-0.987162775,3.844477176,-1.301029996,-0.705842519,-0.42136079
8.775270548,7.844477176,7.857935265,4.856172831,2.761762505,-1.251811973,4.156851901,-1.337242168,-0.297001117,-0.4867824
