countries,GDP,GDP per capita(in $),Real GDP Growth (in%),Government Expenditure(% of GDP),Import($) ,Export($),Tax total rate(%),Unemployment rate(%),Minimum Wage($/month),Population
Afghanistan,19101353833,678,-0.038,0.29508,5109000000,1059000000,0.71,0.11,67,38041754
Albania,15278077447,19570,0.036,0.3139,60196000000,29793000000,0.37,0.12,43.133,2854191
Algeria,1.69988E+11,13680,0.038,0.31223,10695000000,13032000000,0.66,0.12,148.336,43053054
Andorra,3154057987,68230,0.021,0.35971,1994797838,252365105,0.10,0.01,1446.64,77142
Angola,94635415870,7080,0.013,0.21807,3576000000,9804000000,0.49,0.07,38.888,31825295
Antigua and Barbuda,1727759259,25450,0.056,0.22465,669653743,30496874,0.43,0.15,6480,97118
Argentina,4.49663E+11,26510,-0.025,0.37247,4613000000,5398000000,1.06,0.10,42560,44938712
Armenia,13672802158,19740,0.07,0.26393,1244000000,945000000,0.23,0.17,185.924,2957731
Australia,1.39268E+12,64670,0.018,0.38431,36503000000,46561000000,0.47,0.05,15.23,25766605
Austria,4.46315E+11,69070,0.001,0.52387,20164000000,20055000000,0.51,0.05,6.97,8877067
Azerbaijan,39207000000,18690,0.025,0.29464,4181580000,6.66911E+12,0.41,0.06,202.9,10023318
The Bahamas,12827000000,44950,0.043,0.27064,1036000000,179000000,0.34,0.10,1040,389482
Bahrain,38574069149,60720,0.027,0.29115,535000000,350000000,0.14,0.01,797.872,1501635
Bangladesh,3.02571E+11,8670,0.06,0.12586,65390000000,55560000000,0.33,0.04,0,167310838
Barbados,5209000000,18740,0.045,0.31242,3591050000,61139000,0.36,0.10,7.5,287025
Belarus,63080457023,24020,0.016,0.36822,3874000000,3525000000,0.53,0.05,195.85,9466856
Belgium,5.29607E+11,65810,0.01,0.5367,23500000000,40600000000,0.55,0.06,2042.015,11484055
Belize,1879613600,11170,0.04,0.22855,272249000,16772000,0.31,0.06,2074.05,390353
Benin,14390709095,4310,0.055,0.1951,3375000000,1050000000,0.49,0.02,3.272,11801151
Bhutan,2446674101,14300,0.053,0.34835,603000000,23000000,0.35,0.02,2400,727145
Bolivia,40895322865,10340,0.018,0.36309,907000000,949000000,0.84,0.04,4444,11513100
Bosnia and Herzegovina,20047848435,19630,0.02,0.37755,1300000000,9220000000,0.24,0.18,523.92,3301000
Botswana,18340510789,19390,0.038,0.31842,501240000,784000000,0.25,0.18,386.928,2346179
Brazil,1.83976E+12,20080,0.031,0.43322,18186000000,23494000000,0.65,0.12,264.478,212559417
Brunei,13469422941,72610,-0.008,0.25034,875000000,1459000000,0.08,0.09,500,433285
Bulgaria,86000000000,33780,0.017,0.38242,53000000000,47000000000,0.28,0.04,430.13,6975761
Burkina Faso,15745810235,2680,0.044,0.31338,5500000000,4500000000,0.41,0.06,73.619,20321378
Burundi,3012334882,890.18,0.033,0.38994,1025000000,164000000,0.41,0.01,3248,11530580
Ivory Coast,58792205642,6960,0.069,0.21446,1600000000,1000000000,0.50,0.03,124.18,25716544
Cape Verde,1981845741,9910,0.044,0.28161,1122700000,118600000,0.38,0.12,125.09,483628
Cambodia,27089389787,6090,0.056,0.26241,6100000000,6000000000,0.23,0.01,200,16486542
Cameroon,38760467033,4660,0.04,0.1796,3.92E+11,2.53E+11,0.58,0.03,71.933,25876380
Canada,1.73643E+12,59810,0.013,0.41476,62370000000,62978000000,0.25,0.06,12.18,36991981
Central African Republic,2220307369,1110,0.01,0.17916,288000000,15000000,0.73,0.04,864,4745185
Chad,11314951343,1810,0.04,0.16593,8648000000,31550000,0.64,0.02,2400,15946876
Chile,2.82318E+11,29930,-0.05,0.26557,79000000000,95000000000,0.34,0.07,500,18952038
China,1.991E+13,23310,0.05,0.33081,2.22E+11,3.08E+11,0.59,0.04,1632,1397715000
Colombia,3.23803E+11,19480,0.014,0.34238,5260000000,3750000000,0.71,0.10,292.78,50339443
Comoros,1185728677,3460,0.03,0.17632,4410000000,2330000,2.20,0.04,119.97,850886
Republic of the Congo,10820591131,5550,0.04,0.24715,2352000000,2362000000,0.54,0.09,92.47,5380508
Costa Rica,61773944174,26810,0.044,0.19349,1860000000,1336000000,0.58,0.12,883.51,5047561
